Country,League,Club,Player Names,Mins,Goals,xG,On Target Per Avg Match,Year
Brazil,Campeonato Brasileiro S̩rie A,(RBB),Artur ,3049,7,5.78,0.59,2019
Brazil,Campeonato Brasileiro S̩rie A,(FLA),Gabriel Barbosa,2716,25,24.59,2.17,2019
Brazil,Campeonato Brasileiro S̩rie A,(FOR),Wellington Paulista,2650,13,13.67,1.04,2019
Brazil,Campeonato Brasileiro S̩rie A,(FLA),Bruno Henrique,2822,21,21.09,1.55,2019
Brazil,Campeonato Brasileiro S̩rie A,(chongqing dangdai lifan f.c),Marcelo  Cirino,2062,9,9.33,0.78,2019
Brazil,Campeonato Brasileiro S̩rie A,(SAN),Yeferson Soteldo,2883,9,8.8,0.86,2019
Brazil,Campeonato Brasileiro S̩rie A,(CAM),Eduardo Sasha,3181,14,14.06,1.08,2019
Brazil,Campeonato Brasileiro S̩rie A,(GOI),Rafael Moura,1661,9,8.22,0.8,2019
 Netherlands,Eredivisie,(AJA),Antony None,575,4,1.63,1.32,2019
 Netherlands,Eredivisie,(AJA),Quincy Promes,574,4,2.9,1.66,2019
 Netherlands,Eredivisie,(AJA),Dusan Tadic,719,7,4.24,1.72,2019
 Netherlands,Eredivisie,(VIT),Armando Broja,569,5,2.52,1.0,2019
 Netherlands,Eredivisie,(FEY),Steven Berghuis,896,9,8.77,2.23,2019
 Netherlands,Eredivisie,(EMM),Michael de Leeuw,723,5,2.89,0.92,2019
 Netherlands,Eredivisie,(VIT),Lois Openda,775,5,2.94,1.1,2019
 Netherlands,Eredivisie,(TWE),Danilo Nome,827,9,7.05,1.84,2019
 Netherlands,Eredivisie,(SPR),Lennart Thy,768,6,4.37,1.36,2019
 Netherlands,Eredivisie,(PSV),Donyell Malen,725,6,6.11,2.23,2019
 Netherlands,Eredivisie,(PSV),Noni Madueke,524,4,2.87,1.27,2019
 Netherlands,Eredivisie,(AJA),Davy Klaassen,490,5,4.02,1.55,2019
 Netherlands,Eredivisie,(VIT),Oussama Tannane,680,4,2.65,1.26,2019
 Netherlands,Eredivisie,(TWE),Vaclav Cerny,824,4,1.39,1.38,2019
 Netherlands,Eredivisie,(WIL),Vangelis Pavlidis,927,4,2.83,1.54,2019
 Netherlands,Eredivisie,(HEE),Henk Veerman,916,8,4.44,1.45,2019
 Netherlands,Eredivisie,(SPR),Abdou Harroui,834,4,1.93,1.48,2019
 Netherlands,Eredivisie,(HER),Rai Vloet,853,7,4.49,1.0,2019
 Netherlands,Eredivisie,(AJA),Lassina Traore,506,7,4.21,1.5,2019
